Bag_number	orig_Simpson	orig_chao	sample_Simpson	sample_chao
1	4.873	17	3.855	10
7	4.763291	20	6.122449	16
5	4.745321	15	5.252831	13
1	24.75343	53	21.68984	32
5	4.621526	15	4.350441	11
6	22.187	32	21.179	31
3	23.17	53.22	19.89	36.45
3	23.17449389	55.44737	24.96018735	42.25
6	22.187	32	18	26
6	19.47126	32	22.187	26
3	23.17449	53.22	20.16004	48.68
4	4.706271	15.15385	4.631027	8
5	4.708845	15.15385	4.607121	13.78571
1	24.755242	53	20.58479	33
2	4.75	14	94.04	35
2	4.76	14	4.934211	13
2	4.75	14	4.67	14.6
5	23.44748	52	21.53069	33
6	22.187	32	20.76	28.08
